Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Religion,Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,"More information",Location
"Greengables Nursery School","8a Niddrie House Gardens","EH16 4UR","0131 669 9083",Admin@greengables-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.55am-3.05pm",http://www.greengables-nur.edin.sch.uk,,"Isla Finlayson-Crawshaw",East,Silver,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.929091,-3.122244"
"Gylemuir Primary School Nursery Class","10 Wester Broom Place","EH12 7RT","0131 334 7138",Admin@Gylemuir.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.40pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.gylemuir.edin.sch.uk,Non-Denominational,"Aileen Smart",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.937632,-3.294598"
"Hailesland Early Years Centre","23 Hailesland Place","EH14 2SL","0131 442 2163",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Moira McGachan","South West","Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.916712,-3.280646"
"Headstart Nursery School (Leith)","16 Queen Charlotte Street","EH6 6AT","0131 555 0700",leith@headstartnursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.973904,-3.169035"
"Headstart Nursery School (Morningside)","64/66 Morningside Drive","EH10 5NU","0131 447 4778",morningside@headstartnursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.922816,-3.21712"
"Heriot Hill Nursery","34 Heriot Hill Terrace","EH7 4DY","0131 557 9907",joyce@heriothillnursery.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.962751,-3.194709"
"Hermitage Park Primary School Nursery Class","9 Hermitage Park","EH6 8HD","0131 554 2952",Admin@Hermitagepark.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 9am-3pm, Fri 9am-12.05pm, P3-7 Mon-Thu 9am-3.30pm, Fri 9am-12.15pm",http://www.hermitagepark.edin.sch.uk,Non-Denominational,"Denise Penrose",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.965808,-3.162323"
"Highland Fling Nursery","11 East Brighton Crescent","EH15 1LR","0131 468 3453",hfenquiries@gmail.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,East,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.950608,-3.115612"
"Hillwood Primary School Nursery Class","Station Road, Ratho Station","EH28 8PT","0131 333 1210",Admin@hillwood.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9.00am-11.30am, P1-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.15pm",,Non-Denominational,"Sally Barker (Acting)",West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.938807,-3.391718"
"Holy Corner Community Playgroup","Christ Church Hall, Morningside Road","EH10 4DD","0131 228 2768",holycorner@hotmail.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.934503,-3.210585"
"Holy Cross RC Primary School Nursery Class","Craighall Road","EH6 4RE","0131 552 1972",Admin@Holycross.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.50am-2.55pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.holycross.edin.sch.uk,"Roman Catholic","Jackie McCarry",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.976582,-3.196964"
"Hope Cottage Nursery School","7 Cowan's Close","EH8 9HF","0131 667 5795",Admin@hopecottage-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",9.00am-3.00pm,http://www.hopecottage-nur.edin.sch.uk,,"Dianne Ryan (Head Teacher)",South,Silver,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.943414,-3.181836"
"James Gillespie's Primary School Nursery Class","Whitehouse Loan","EH9 1BD","0131 447 1014",Admin@jamesgillespies-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.35pm-3.10pm, FT 8.45am-3pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-12.15pm, P3-7 Mon-Thu 8.45am-3.20pm, Fri 8.45am-12.25pm",http://www.jamesgillespies-pri.edin.sch.uk,Non-Denominational,"Anthea Grierson",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.934595,-3.201203"
"Jigsaw Childcare","40 Turnhouse Road","EH12 8LX","0131 339 5557",enquiries@jigsaw-childcare.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.940895,-3.314552"
"Jigsaw Nursery","5 Main Street","EH14 7EQ","0131 449 4516",diane@jigsaw-nurseries.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.883898,-3.338458"
"Juniper Green Primary School Nursery Class","20 Baberton Mains Wynd","EH14 3EE","0131 442 2121",Admin@junipergreen.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-11.50am, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",http://www.junipergreen.edin.sch.uk,Non-Denominational,"Karen Noble","South West",Green,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.907188,-3.285871"
"Juniper Green Private Nursery","6-8 Woodhall Drive","EH14 5BX","0131 458 3003",m.mclean.jgpn@gmail.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.904537,-3.284041"
"Kidzcare @ Grange Loan Toddler Nursery","133 Grange Loan","EH9 2HB","0131 668 4674",hannah.kay@kidzcare.org,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.930798,-3.193889"
"Kidzcare @ Norwood House Nursery","9 Kilgraston Road","EH9 2DX","0131 668 2792",info@astleygrangenurseries.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.93388,-3.19392"
"Kirkliston Nursery School","Queensferry Road","EH29 9AQ","0131 333 2336",Admin@kirkliston.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.55am-3.05pm",,,"Lynn Patterson",West,"Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.960356,-3.403502"
"Kirkliston Orchard Nursery","24 Newiston Road","EH29 9EA","0131 333 4621",kirkliston@orchard-nursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"56.12433,-3.203611"
"Lanark Road Nursery","305 Lanark Road","EH14 2LL","0131 441 5678",lanarkroadnursery@hotmail.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.914465,-3.261343"
"Leaps and Bounds Nursery","56A Drum Brae North","EH4 8AZ","0131 339 1490",jacquiglasgow@msn.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.958277,-3.300307"
"Leith Primary School Nursery Class","St Andrew's Place","EH6 7EG","0131 554 4844",Admin@Leith-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.leith-pri.edin.sch.uk,Non-Denominational,"Alasdair Friend",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.954071,-3.195837"
"Leith Walk Primary School Nursery Class","9 Brunswick Road","EH7 5NG","0131 556 3873",Admin@leithwalk.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.55am-3pm, Fri 8.55am-12.20pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.30pm",http://www.leithwalk.edin.sch.uk,Non-Denominational,"Jackie Reid",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.959948,-3.177608"
"Liberton Nursery School","68 - 70 Mount Vernon Road","EH16 6JQ","0131 664 3155",Admin@liberton-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri 8.55am-3.05pm",,,"Jane Watson (Acting)",South,"Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.913658,-3.160118"
"Liberton Primary School Nursery Class","229 Gilmerton Road","EH16 5UD","0131 664 2337",Admin@liberton-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.liberton-pri.edin.sch.uk,Non-Denominational,"Paul Ewing",South,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.923002,-3.163548"
"Little Flyers Nursery","4a Ingliston Road","EH28 8AU","0131 335 3679",littleflyersnursery@hotmail.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.943257,-3.370383"
"Little Learners Nursery","98 Lasswade Road","EH16 6SU","0131 664 3434",lyndsay@llnursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.908739,-3.156178"
"Little Monkeys Nursery - Craiglockhart","1 Craiglockhart Terrace","EH14 1AJ","0131 443 8701",craiglockhart@littlemonkeysnursery.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.92685,-3.229025"
"Little Monkeys Nursery - Kilmaurs","28 Kilmaurs Road","EH16 5DP","0131 667 5544",kilmaurs@littlemonkeysnursery.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.933963,-3.165605"
"Little VIPs Nursery","2 Windsor Place","EH15 2AA","0131 669 5040",mail@little-vips.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,East,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.952096,-3.112309"
"Lochrin Nursery School","8 West Tollcross","EH3 9QN","0131 229 7743",Admin@lochrin-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.55am-3.00pm",,,"Donna Murray",South,"Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.94257,-3.206216"
"Longstone Primary School Nursery Class","Redhall Grove","EH14 2DU","0131 443 4743",Admin@longstone.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.05pm",http://www.longstone.edin.sch.uk,Non-Denominational,"Irene Mirtle","South West",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.921401,-3.260379"
"Lorne Primary School Nursery Class","7 Lorne Street","EH6 8QS","0131 554 2308",Admin@Lorne.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.55am-2.55pm, Fri 8.55am-12pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.10pm",http://www.lorne.edin.sch.uk,Non-Denominational,"Colin McLean",North,Green,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.966335,-3.174631"
"Meadows Nursery","5 Millerfield Place","EH9 1LW","0131 667 5316",info@meadows-nursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.939116,-3.187661"
"Melville House Nursery","41 Polwarth Terrace","EH11 1NL","0131 313 0111",melvillehouse@aol.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.932169,-3.224452"
"Melville Street Nursery","57 Melville Street","EH3 7HL","0131 226 6184",contact@melvillestreetnursery.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.949225,-3.215328"
"Moffat Early Years Campus","Moffat Early Years Campus, 20 Moffat Way","EH16 4NU","0131 661 1401",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",9.00am-3.00pm,,,"Angela Paul",East,Bronze,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,","
"Montessori Nursery School","Church of the Good Shepherd, Murrayfield Avenue","EH12 6AU","0131 346 8921",jpark@montessori-edinburgh.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,http://www.themontessorinurseryschool.com,,,West,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.947221,-3.237701"
"Morningside Children's Nursery","Royal Edinburgh Hospital, Morningside Terrace","EH10 5HF","0131 669 0819",leadryburgh@yahoo.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.927527,-3.212946"
"Mother Goose Nursery","50 Howden Hall Road","EH17 7AB","0131 620 4380",info@mgnursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,http://www.mgnursery.co.uk,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.90049,-3.163274"
"Murrayburn Primary School Nursery Class","1 Sighthill Loan","EH11 4NP","0131 453 5339",Admin@murrayburn.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.45am-2.45pm, Fri 8.45am-11.50am, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",,Non-Denominational,"Michael Urquhart",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.922941,-3.280265"
"Murrayfield Nursery","52 Saughton Crescent","EH12 5SP","0131 346 4459",maxinesmith1@btconnect.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.94365,-3.254736"
"New Town Nursery","12 Dean Terrace","EH4 1ND","0131 332 5920",irene@newtownnurseries.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.957147,-3.21004"
"New Town Nursery Too","4 Forres Street","EH3 6BJ","0131 226 5692",forres@newtownnurseries.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.954037,-3.20783"
"Newcraighall Primary School Nursery Class","Whitehill Street, Newcraighall","EH21 8QZ","0131 669 3598",Admin@newcraighall.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.40am-11.15am, P1-7 Mon-Thur 8.45am-3.05pm, Fri 8.45am-12.20pm",http://www.newcraighall.edin.sch.uk,Non-Denominational,"Janet Paterson",East,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.92691,-3.08285"
"Nippers Nursery","Verdun Villa, 18/19 Main Street","EH30 9TU","0131 319 1778",nippers.nursery@btinternet.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,","
"North Edinburgh Childcare Project","18b Ferry Road Avenue","EH4 4BL","0131 332 8001",info@northedinburghchildcare.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Community Childcare Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.96933,-3.240995"
"Northfield/Willowbrae Playgroup","Northfield/Willowbrae Community Centre, Northfield Road","EH8 7PP","0131 661 5723",northfieldwillowbrae@sky.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Jill O`Malley",East,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.96432,-3.175747"
"Orchard Nursery","Royal Victoria Hospital, 29 Inverlieth Row","EH3 5QH","0131 552 5000",edinburgh@orchard-nursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.96768,-3.205865"
"Oxgangs Primary School Nursery Class","60 Oxgangs Road North","EH13 9DS","0131 441 3649",Admin@Oxgangs.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.25pm-3pm, FT 9am-3pm, P1-2 Mon-Thur 8.55am-2.50pm, Fri 8.55am-12.25pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.30pm",http://www.oxgangs.edin.sch.uk,Non-Denominational,"Liz Walshe","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.913113,-3.23562"
