Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,Location
"Hope Cottage Nursery School","7 Cowan's Close","EH8 9HF","0131 667 5795",Admin@hopecottage-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",9.00am-3.00pm,http://www.hopecottage-nur.edin.sch.uk,"Jane Whinnett",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9434135,-3.1818363"
"James Gillespie's Primary School Nursery Class","Whitehouse Loan","EH9 1BD","0131 447 1014",Admin@jamesgillespies-pri.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.35pm-3.10pm, FT 8.45am-3pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-12.15pm, P3-7 Mon-Thu 8.45am-3.20pm, Fri 8.45am-12.25pm",http://www.jamesgillespies-pri.edin.sch.uk,"Anthea Grierson",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.934595,-3.201203"
"Jigsaw Childcare","40 Turnhouse Road","EH12 8LX","0131 339 5557",enquiries@jigsaw-childcare.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9408952,-3.3145519"
"Jigsaw Nursery","5 Main Street","EH14 7EQ","0131 449 4516",diane@jigsaw-nurseries.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West",,,"Private Day Nursery","55.8838984,-3.3384577"
"Juniper Green Primary School Nursery Class","20 Baberton Mains Wynd","EH14 3EE","0131 442 2121",Admin@junipergreen.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-11.50am, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",http://www.junipergreen.edin.sch.uk,"Ingrid Donaldson","South West",Green,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9071881,-3.2858707"
"Kidzcare @ Grange Loan Toddler Nursery","133 Grange Loan","EH9 2HB","0131 668 4674",hannah.kay@kidzcare.org,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9307984,-3.1938889"
"Kidzcare @ Norwood House Nursery","9 Kilgraston Road","EH9 2DX","0131 668 2792",info@astleygrangenurseries.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9338802,-3.1939197"
"Kirkliston Nursery School","Queensferry Road","EH29 9AQ","0131 333 2336",Admin@kirkliston.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.55am-3.05pm",,"Lynn Patterson",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9603558,-3.4035023"
"Kirkliston Orchard Nursery","24 Newiston Road","EH29 9EA","0131 333 4621",kirkliston@orchard-nursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9485034,-3.406407"
"Lanark Road Nursery","305 Lanark Road","EH14 2LL","0131 441 5678",lanarkroadnursery@hotmail.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West","Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9146595,-3.2607029"
"Leaps and Bounds Nursery","56A Drum Brae North","EH4 8AZ","0131 339 1490",jacquiglasgow@msn.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9582772,-3.3003069"
"Leith Primary School Nursery Class","St Andrew's Place","EH6 7EG","0131 554 4844",Admin@Leith-pri.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.leith-pri.edin.sch.uk,"Alasdair Friend",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9704782,-3.1685937"
"Leith Walk Primary School Nursery Class","9 Brunswick Road","EH7 5NG","0131 556 3873",Admin@leithwalk.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.55am-3pm, Fri 8.55am-12.20pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.30pm",http://www.leithwalk.edin.sch.uk,"Jackie Reid",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9599484,-3.1776078"
"Liberton Nursery School","68 - 70 Mount Vernon Road","EH16 6JQ","0131 664 3155",Admin@liberton-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri 8.55am-3.05pm",,"Jane Watson (Acting)",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9143732,-3.1590654"
"Liberton Primary School Nursery Class","229 Gilmerton Road","EH16 5UD","0131 664 2337",Admin@liberton-pri.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.liberton-pri.edin.sch.uk,"Paul Ewing",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9230019,-3.1635477"
"Little Flyers Nursery","4a Ingliston Road","EH28 8AU","0131 335 3679",littleflyersnursery@hotmail.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9432574,-3.3703826"
"Little Learners Nursery","98 Lasswade Road","EH16 6SU","0131 664 3434",lyndsay@llnursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9087395,-3.1561778"
"Little Monkeys Nursery - Craiglockhart","1 Craiglockhart Terrace","EH14 1AJ","0131 443 8701",craiglockhart@littlemonkeysnursery.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9268496,-3.2290255"
"Little Monkeys Nursery - Kilmaurs","28 Kilmaurs Road","EH16 5DP","0131 667 5544",kilmaurs@littlemonkeysnursery.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9339627,-3.1656051"
"Little VIPs Nursery","2 Windsor Place","EH15 2AA","0131 669 5040",mail@little-vips.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,East,,,"Private Day Nursery","55.952054,-3.1122655"
"Lochrin Nursery School","8 West Tollcross","EH3 9QN","0131 229 7743",Admin@lochrin-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.55am-3.00pm",,"Alice Brown",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9425697,-3.206216"
"Longstone Primary School Nursery Class","Redhall Grove","EH14 2DU","0131 443 4743",Admin@longstone.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.05pm",http://www.longstone.edin.sch.uk,"Irene Mirtle","South West",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9214008,-3.2603794"
"Lorne Primary School Nursery Class","7 Lorne Street","EH6 8QS","0131 554 2308",Admin@Lorne.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.55am-2.55pm, Fri 8.55am-12pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.10pm",http://www.lorne.edin.sch.uk,"Colin McLean",North,Green,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.966335,-3.1746314"
"Meadows Nursery","5 Millerfield Place","EH9 1LW","0131 667 5316",info@meadows-nursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9391115,-3.1876634"
"Melville House Nursery","41 Polwarth Terrace","EH11 1NL","0131 313 0111",melvillehouse@aol.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9321691,-3.2244524"
"Melville Street Nursery","57 Melville Street","EH3 7HL","0131 226 6184",contact@melvillestreetnursery.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,,,"Private Day Nursery","55.9492247,-3.2153275"
"Moffat Early Years Campus","Moffat Early Years Campus, 20 Moffat Way","EH16 4NU","0131 661 1401",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",9.00am-3.00pm,,"Christine McKechnie (Acting)",East,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9348228,-3.1272605"
"Montessori Nursery School","Church of the Good Shepherd, Murrayfield Avenue","EH12 6AU","0131 346 8921",jpark@montessori-edinburgh.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,http://www.themontessorinurseryschool.com,,West,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.9471976,-3.2374582"
"Morningside Children's Nursery","Royal Edinburgh Hospital, Morningside Terrace","EH10 5HF","0131 669 0819",leadryburgh@yahoo.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,,,"Private Day Nursery","55.9275269,-3.2129459"
"Murrayburn Primary School Nursery Class","1 Sighthill Loan","EH11 4NP","0131 453 5339",Admin@murrayburn.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 8.30am-11.40am, 12.20pm-3.30pm
P1-2 Mon-Thur 8.45am-2.45pm, Fri 8.45am-11.50am
P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm</p>",http://murrayburn-edin.j2webby.com,"Catherine Lynch",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9230049,-3.2818099"
"Murrayfield Nursery","52 Saughton Crescent","EH12 5SP","0131 346 4459",maxinesmith1@btconnect.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9436499,-3.2547359"
"New Town Nursery","12 Dean Terrace","EH4 1ND","0131 332 5920",irene@newtownnurseries.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9571467,-3.2100402"
"New Town Nursery Too","4 Forres Street","EH3 6BJ","0131 226 5692",forres@newtownnurseries.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.954037,-3.2078301"
"Newcraighall Primary School Nursery Class","Whitehill Street, Newcraighall","EH21 8QZ","0131 669 3598",Admin@newcraighall.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.40am-11.15am, P1-7 Mon-Thur 8.45am-3.05pm, Fri 8.45am-12.20pm",http://www.newcraighall.edin.sch.uk,"Janet Paterson",East,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9269101,-3.0828501"
"Nippers Nursery","Verdun Villa, 18/19 Main Street","EH30 9TU","0131 319 1778",nippers.nursery@btinternet.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9817522,-3.3736032"
"North Edinburgh Childcare Project","18b Ferry Road Avenue","EH4 4BL","0131 332 8001",info@northedinburghchildcare.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Community Childcare Centre","55.96933,-3.2409949"
"Northfield/Willowbrae Playgroup","Northfield/Willowbrae Community Centre, Northfield Road","EH8 7PP","0131 661 5723",northfieldwillowbrae@sky.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Jill O`Malley",East,,,"Playgroup or Part-Time Nursery","55.9522605,-3.1405231"
"Orchard Nursery","Royal Victoria Hospital, 29 Inverlieth Row","EH3 5QH","0131 552 5000",edinburgh@orchard-nursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9675314,-3.2058505"
"Oxgangs Primary School Nursery Class","60 Oxgangs Road North","EH13 9DS","0131 441 3649",Admin@Oxgangs.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 8:45am-11:55am, 12.30pm-3:40pm. P1-2 Mon-Thur 8.55am-2.45pm, Fri 8.55am-12.25pm. P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.30pm",http://www.oxgangs.edin.sch.uk,"Liz Walshe","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9131129,-3.2356205"
"Parsons Green Primary School Nursery Class","60 Meadowfield Drive","EH8 7LU","0131 661 4459",Admin@parsonsgreen.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thur 8.55am-2.50pm, Fri 8.55am-12pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.30pm",http://www.parsonsgreen.edin.sch.uk,"Jennifer McGowan (Acting)",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9479798,-3.1441957"
"Peek-A-Boo Nursery School","12 Parkgrove Loan","EH4 7QX","0131 339 9161",sally-anne.p@virgin.net,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9584384,-3.2984339"
"Pentland Primary School Nursery Class","Oxgangs Green","EH13 9JF","0131 445 1510",Admin@pentland.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-3.05pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.pentland.edin.sch.uk,"Jacqueline Mackenzie","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9086901,-3.2203135"
"Pinocchio's Nursery (Gilmerton)","6 Ferniehill Road","EH17 7AB","0131 664 3276",gilmerton@pinocchiosnursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9073023,-3.1339001"
"Pinocchio's Nursery (Heriot Watt University)","First Gait, Heriot Watt University, Riccarton Campus","EH14 4AS","0131 451 5236",heriot-watt@pinocchiosnursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","College/University Nursery","55.909403,-3.3206991"
"Pirniehall Primary School Nursery Class","4 West Pilton Crescent","EH4 4EP","0131 332 5256",Admin@pirniehall.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 8:30am-11.40am, 12.15pm-3.155pm
P1-2 Mon-Thur 8.40am-2.50pm, Fri 8.40am-12.05pm
P3-7 Mon-Thu 8.40am-3.05pm, Fri 8.40am-12.15pm",http://www.pirniehall.edin.sch.uk,"Mary Ryan-Gillespie",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9727643,-3.2495938"
"Playdays Kindergarten","17 East Suffolk Road","EH16 6PH","0131 662 0010",iplaydays@aol.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,,,"Private Day Nursery","55.9300835,-3.1681776"
"Prestonfield Primary School Nursery Class","Peffermill Road","EH16 5LJ","0131 667 1336",Admin@Prestonfield.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-3.05pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.prestonfield.edin.sch.uk,"Fiona Murray",South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9320996,-3.1498076"
"Priestfield House Nursery","89 Priestfield Road","EH16 5JD","0131 620 2379",info@priestfieldnursery.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9344439,-3.1587765"
"Queensferry Early Years Centre","Burgess Road","EH30 9NX","0131 331 3594 or 07847 116782",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,http://www.edinburgh.gov.uk/queensferryeyc/,"Irene Watson",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9869903,-3.3947755"
"Queensferry Primary School Nursery Class","Burgess Road, South Queensferry","EH30 9NX","0131 331 1349",quee-adminstaff@ea.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.55am-2.45pm, Fri 8.55am-12.20pm, P3-7 Mon-Thu 9am-3.25pm, Fri 9am-12.35pm",http://www.queensferry-pri.edin.sch.uk,"Karen MacGregor",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9869754,-3.3946589"
"Rainbow Kindergarten","72 Gilmore Place","EH3 9NX","0131 226 7340",rainbow.kindergarten@tiscali.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,,,"Private Day Nursery","55.9408333,-3.2096435"
"Ratho Primary School Nursery Class","1 School Wynd, Ratho","EH28 8TT","0131 333 1293",Admin@ratho.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 8.15am-11.25am, 12.20pm-3.30pm
P1-2 Mon-Thur 8.50am-2.40pm, Fri 8.50am-12.15pm
P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.ratho.edin.sch.uk,"Claire McGlynn","South West","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9222825,-3.384237"
"Rocking Horse Nursery","60A Duddingston Road","EH15 1SG","0131 228 1668",rockinghorsenursery@hotmail.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9471048,-3.1304663"
"Roseburn Primary School Nursery Class","64 Roseburn Street","EH12 5PL","0131 337 6096",Admin@Roseburn.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 8.55am-11.30am, 12.30pm-3.05pm
P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-12.15pm
P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.roseburn.edin.sch.uk,"Viv Donaldson",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.942908,-3.237876"
"Royal Mile Nursery","215 High Street / Old Stamp Office Close","EH1 1PX","0131 537 6342",lesleybothwell@hotmail.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,,,"Private Day Nursery","55.9503807,-3.1889507"
"Royal Mile Primary School Nursery Class","86 Canongate","EH8 8BZ","0131 556 3347",Admin@royalmile.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 8.55am-11.30am, 12.30pm-3.05pm
P1-2 Mon-Thur 8.50am-3pm, Fri 8.50am-11.55am
P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.royalmile.edin.sch.uk,"Nicky Johnstone",South,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.951868,-3.1774081"
"Scallywags Children's Nursery","62 Longstone Road","EH14 2BA","0131 226 6574",scallywags2008@hotmail.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9252741,-3.2608371"
