City of Edinburgh Council - Fort Community Wing,Fort Community Wing,EH6 4HF,25 North Fort Street,EH6 4HF,cld-fort@ea.edin.sch.uk,0131 553 1074,http://www.joininedinburgh.org/fort,,1,0,,1,1,0,,,,1,,,,1,1,0,1,1,,0,,,0,,,1,,1,0,
City of Edinburgh Council - Gilmerton Community Centre,Gilmerton Community Centre,EH17 8QG,4 Drum Street,EH17 8QG,cld-gilmerton@ea.edin.sch.uk,0131 664 2335,http://www.joininedinburgh.org/gilmerton ,,1,0,,1,1,0,,,,,,,,0,1,0,0,0,,1,,,0,,,,,1,0,
City of Edinburgh Council - Goodtrees Neighbourhood Centre,Goodtrees Neighbourhood Centre,EH17 7LB,5 Moredunvale Place,EH17 7LB,cld-goodtrees@ea.edin.sch.uk,0131 672 2629,http://www.joininedinburgh.org/goodtrees,,1,0,,1,1,0,,,,,,,,1,1,0,0,0,,1,,,0,,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Inch Community Centre,Inch Community Centre,EH16 5UF,225 Gilmerton Road Edinburgh,EH16 5UF,cld-inch@ea.edin.sch.uk,0131 664 4710,http://www.joininedinburgh.org/inch ,,1,1,,,1,0,,,,,,,,1,1,0,0,1,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Juniper Green Community Centre,Juniper Green Community Centre,EH14 5DU,Baberton Avenue,EH14 75DU,cld-junipergreen@ea.edin.sch.uk,0131 458 3751,http://www.joininedinburgh.org/junipergreen ,,1,1,,,1,0,,,,,,,,1,1,0,1,0,,0,1,,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - SW + Pentland CLD team,Juniper green village hall,EH14 5DU,c/o WHEC 5 murrayburn drive,EH14 2SU,cld-junipergreen@ea.edin.sch.uk,0131 458 5959,http://www.joininedinburgh.org/junipergreen ,,1,1,,,1,0,,,,,,,,0,0,0,0,0,,1,,,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Kirkliston Community Centre,Kirkliston Community Centre,EH29 9AQ,Queensferry Road,EH29 9AQ,cld-kirkliston@ea.edin.sch.uk,0131 333 4214,http://www.joininedinburgh.org/kirkliston,,1,1,,,1,,,,,,,,,1,1,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Leith Community Centre,Leith Community Centre,EH6 6AD,12a New Kirkgate,EH6 6AD,cld-leith@ea.edin.sch.uk,0131 554 4750,http://www.joininedinburgh.org/leith ,,1,,,1,1,,,,,1,1,,,1,1,,,1,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Magdalene Community Centre,Magdalene Community Centre,EH15 3BE,"106b Magdalene Drive, Edinburgh",EH15 3BE,cld-magdalene@ea.edin.sch.uk,0131 669 8760,http://www.joininedinburgh.org/magdalene ,,1,0,,1,1,0,,,,,,,,1,1,1,1,1,,1,1,,0,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Nelson Hall ,Nelson Hall ,EH8 9QZ,Nelson Hall CLD Centre,EH8 9QZ,cld-nelsonhall@ea.edin.sch.uk,0131 667 8838,http://www.joininedinburgh.org/nelsonhall ,,1,1,,,1,,,,,,,,,1,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Northfield Community Centre,Northfield Community Centre,EH8 7PP,10 Northfield Road,EH8 7PP,cld-northfieldwillowbrae@ea.edin.sch.uk,0131 661 5723,http://www.joininedinburgh.org/northfield,,1,1,,,1,0,,,,,,,,1,1,0,0,0,,1,,,0,,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Norwood Community Wing ,Norwood Community Wing,EH28 8PT,"Staion Road, Ratho Station.",EH28 8PT,cld-norwood@ea.edin.sch.uk,0131 333 0041,http://www.joininedinburgh.org/norwood ,,1,1,,,1,,,,,,,,,1,1,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Pentland Community Centre,Pentland Community Centre,EH13 9LS,Oxgangs Brae,EH13 9LS,cld-pentland@ea.edin.sch.uk,0131 445 2871,http://www.joininedinburgh.org/pentland ,,1,0,,1,1,0,,,,,,,,1,1,0,1,0,,0,,,0,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - The Rannoch Centre,The Rannoch Centre,EH4 7ES,"6 Rannoch Terrace, Edinburgh",EH4 7ES,cld-rannoch@ea.edin.sch.uk,0131-339-5351,http://www.joininedinburgh.org/rannoch,,1,0,,1,1,0,,,,,,,,1,1,0,1,1,,1,1,,0,,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Ratho Community Centre,Ratho Community Centre,EH28 8TT,"1 School Wynd, Ratho",EH28 8TT,cld-ratho@ea.edin.sch.uk,0131 333 1055,http://www.joininedinburgh.org/ratho ,,1,1,,,1,0,,,,,,,,1,1,0,0,1,,1,,,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Royston Wardieburn Community Education Centre,Royston Wardieburn Community Education Centre,EH5 1NF,"11 Pilton Drive North, Edinburgh",EH5 1NF,cld-roystonwardieburn@ea.edin.sch.uk,0131-552-5700,http://www.joininedinburgh.org/roystonwardieburn ,,1,0,,1,1,0,,,,,,,,1,0,1,1,1,,1,1,,0,,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totally Sound Music Project,South Bridge Resource Centre,EH1 1DT,"South Bridge Resource Centre, 6 Infirmary Street, Edinburgh",EH1 1DT,cld-southbridge@ea.edin.sch.uk,0131 558 3545,http://www.totallysound.org,1,0,1,,,,0,,,1,,,,,0,1,0,0,0,,0,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - South Queensferry Youth Caf‚,South Queensferry youth cafe,EH30 9NZ,Rosebery Hall High Street South Queensferry,EH30 9LL,cld-southqueensferry@ea.edin.sch.uk,0131 331 2113,http://www.joininedinburgh.org/southqueensferry ,,1,1,,,1,0,,,,,,,,1,1,1,1,1,1,1,1,,0,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council - Southside Community Centre,Southside Community Centre,EH8 9ER,117 Nicolson Street,EH8 9ER,cld-southside@ea.edin.sch.uk,0131 667 0484,http://www.joininedinburgh.org/southside ,,1,1,,,1,0,,,,,,,,1,0,0,1,0,,1,,,0,,,,,1,0,
City of Edinburgh Council - The Base,The Base,EH16 6RN,22 Gracemount Drive,EH16 6RN,cld-thebase@ea.edin.sch.uk,0131 666 1056,http://www.joininedinburgh.org/thebase ,,1,1,,,1,0,,,,,,,,1,1,0,0,1,,1,,,0,,,1,,1,0,
City of Edinburgh Council - Tynecastle High,Tynecastle High,EH11 2ND,"Tynecastle Community Wing, McLeod Street",EH11 2ND,cld-tynecastle@ea.edin.sch.uk,0131 337 3275,http://www.joininedinburgh.org/tynecastle ,,1,0,1,,,0,,,,,1,,,0,0,0,0,1,,0,,,0,1,,,,0,0,
City of Edinburgh Council - Valley Park Community Centre,Valley Park Community Centre,EH17 8EU,37 Southhouse Road,EH17 8EU,cld-valleypark@ea.edin.sch.uk,0131 664 2210,http://www.joininedinburgh.org/valleypark,,1,1,,,1,0,,,,,,,,0,1,0,0,0,,1,,,0,,,,,1,0,
City of Edinburgh Council - Broughton CLD at George V Park,George v Park,EH3 5DX,East Fettes Avenue Edinburgh,EH4 1EG,community.learninganddevelopment@edinburgh.gov.uk,0131 332 6316,http://www.joininedinburgh.org/forthinverleith ,,1,1,,,1,0,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
City of Edinburgh Council - Broughton CLD at Inverleith Park,Inverleith park,EH3 5NZ,East Fettes Avenue Edinburgh,EH4 1EG,community.learninganddevelopment@edinburgh.gov.uk,0131 332 6316,http://www.joininedinburgh.org/forthinverleith ,,1,1,,,1,0,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
City of Edinburgh Council - Broughton CLD Base,Broughton CLD base,EH4 1EG,East Fettes Avenue Edinburgh,EH4 1EG,community.learninganddevelopment@edinburgh.gov.uk,0131 332 6316,http://www.joininedinburgh.org/forthinverleith,,1,0,,1,1,0,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes
City of Edinburgh Council - Costorphine youth centre,Corstorphine Youth Centre,EH12 7HD,"c/o Forrester High School, 212  Broomhouse Road",EH12 9AE,community.learninganddevelopment@edinburgh.gov.uk,0131 334 9304,http://www.corstorphine-youth-and-community-centre.co.uk/,,1,1,,,1,0,,,,,,,,0,0,0,0,0,,1,,,0,,,,,1,0,
City of Edinburgh Council - Drumbrae Leisure Centre,Open All Hours- Drumbrae Leisure Centre-,EH4 7SE,"c/o Forrester High School, 212  Broomhouse Road",EH12 9AE,community.learninganddevelopment@edinburgh.gov.uk,0131 334 9304,http://www.edinburghleisure.co.uk/list-80,,1,1,,,,0,,1,,,,,,1,0,0,0,1,,0,,,0,,,,,1,0,
City of Edinburgh Council - Eric Liddell Centre,Eric Liddell Centre,EH10 4DP,Eric Liddel Centre,EH10 4DP,community.learninganddevelopment@edinburgh.gov.uk,0131 447 4520,http://www.joininedinburgh.org/3ms ,,1,0,,1,,0,,,,1,,,,1,1,0,1,1,1,1,1,1,0,1,,1,,1,1,
City of Edinburgh Council - Gorgie City Farm,Gorgie City Farm,EH11 2LA,"Tynecastle Community Wing, McLeod Street",EH11 2ND,community.learninganddevelopment@edinburgh.gov.uk,0131 3373275,http://www.joininedinburgh.org/tynecastle ,,1,1,,,1,0,,,,,,,,0,1,1,1,0,,0,,,0,,1,,,1,0,
City of Edinburgh Council - Liberton High School,Liberton High School,EH17 7PS,Gracemount High School,EH16 6TZ,community.learninganddevelopment@edinburgh.gov.uk,,http://www.edinburgh.gov.uk/info/550/youth_clubs_and_organisations/412/clubs_groups_and_classes/2,,1,0,1,,,0,,,,,,,1,0,0,1,1,1,,0,1,,0,1,1,1,1,0,0,Yes
City of Edinburgh Council - Portobello Community Centre,Youth Lounge Portobello CC,EH15 1AP,3 Adelphi Grove,EH15 1AP,community.learninganddevelopment@edinburgh.gov.uk,0131 669 8275,http://www.joininedinburgh.org/portobello ,,1,1,,,,0,,1,,1,1,,,1,1,0,1,1,,1,,,0,,,,,1,0,
City of Edinburgh Council - St Martin's Church Hall,St Martin's Church Hall,EH11 2JG,"Tynecastle Community Wing, McLeod Street",EH11 2ND,community.learninganddevelopment@edinburgh.gov.uk,0131 3373275,http://www.joininedinburgh.org/tynecastle ,,1,1,,,1,0,,,,,,,,0,1,1,1,0,,0,,,0,,1,,,1,0,
City of Edinburgh Council - Tollcross Community Centre,Gingerbread,EH3 9QG,"117 Fountainbridge, Edinburgh",EH3 9QG,community.learninganddevelopment@edinburgh.gov.uk,0131 221 5800,http://www.joininedinburgh.org/tollcross ,,1,0,,,,0,,,,,,,,0,0,0,0,0,,0,,,0,,,,,0,0,
Young Edinburgh Writers YEW,"Central Library, George IV Bridge, Edinburgh",EH1 1EE,Central Library George IV Bridge,EH1 1EG,,0131 449 3265,http://www.facebook.com/groups/young edinburgh writers,1,0,1,,,1,0,,,,,,,,0,1,0,0,0,,0,,,0,,,1,,0,0,
Epilepsy Scotland,Epilepsy Scotland office,EH4 2HS,"Orchard Brae House, 30 Queensferry Road",EH4 2HG,,07833 116 468,http://epilepsyscotland.org.uk,,1,0,1,,1,0,,,,,,,,1,1,0,1,1,,0,1,,0,,,,,1,0,
Woodcraft Folk Scotland,Duke Street Church Hall,EH6 8HL,"Robert Owen House, 87 Bath St, Glasgow",G2 2EE,scotland@woodcraft.org.uk,,https://woodcraft.org.uk/category/place/scotland/edinburgh,1,0,1,,,,0,,,,1,,,,0,1,1,1,1,,0,,,0,,,,,1,0,
Woodcraft Folk Scotland,Bruntsfield primary school,EH10 4NA,Robert Owen House 87 Bath Street Glasgow,G2 2EE,scotland@woodcraft.org.uk,,https://woodcraft.org.uk/category/place/scotland/edinburgh,,1,1,,,,1,,,,,,,,1,1,1,1,0,,0,,,0,,,,,1,0,
Woodcraft Folk Scotland,Portobello,EH15 1AZ,Robert Owen House 87 Bath Street Glasgow,G2 2EE,scotland@woodcraft.org.uk,,https://woodcraft.org.uk/category/place/scotland/edinburgh,,1,1,,,1,0,,,,,,,,1,1,1,1,0,,0,,,0,,,,,1,0,
100th Pentland Scouts,Barclay Viewforth Church,EH10 4HR,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
102nd Inverleith Scouts,St Andrews Church Hut,EH4 7BS,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
103rd Morningside Scouts,Cluny Church Centre,EH10 6BQ,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
107th Pentland Scouts,Craiglockhart Church Hall,EH14 1HX,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
108th Pentland Scouts,"Scout Hall, Spylaw Park",EH13 0JS,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
10th Haymarket Scouts,Douglas Brown Scout Hall,EH12 7SU,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
10th Inverleith Scouts,Scout Hall Kirkliston,EH29 9AX,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
114th Morningside Scouts,Fairmilehead Parish Church,EH10 7AA,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
11th Leith Scouts,St Marys School East London St,EH7 4BN,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
122nd Inverleith Scouts,St Stephens Church Comely Bnk,EH4 1DN,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
125th Haymarket Scouts,St Ninians Church Hall,EH4 1AF,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
134th Pentland Scouts,Slateford Longstone Church,EH14 2DF,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
139th Blackford Scouts,St John Vianney Church Hall,EH17 7HN,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
14th Portobello Scouts,St Christophers Church Hall,EH7 6RQ,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
150th Haymarket Scouts,Saughton Cres Scout Hall,EH12 5SP,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
154th Leith Scouts,Greenside Parish Church,EH1 3AA,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
157th Blackford Scouts,St Catherines Argyle Grange Rd,EH9 1JY,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
162nd Blackford Scouts,Liberton Kirk Halls,EH16 6RY,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
16th Haymarket Scouts,East Craigs Church Centre,EH12 8XP,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
172nd Pentland Scouts,Juniper Green Church,EH13 0NJ,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st Leith Scouts,Wardie Church hall,EH5 3QE,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st Portobello Scouts,McLaren Halls 46 Restalrig Rd Sth,EH7 6LE,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
21st Inverleith Scouts,Nelson Hall Port Edgar,EH30 9SQ,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
23rd Inverleith Scouts,St Columbas Church Blackhall,EH4 2AB,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
25th Morningside Scouts,"Braid Church Hall, Nile Grove",EH10 6BQ,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
26th Haymarket Scouts,Craigsbank Church,EH12 8HP,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
28th Blackford Scouts,Mayfield Salisbury Church,EH9 2NG,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
30th Inverleith Scouts,"Scout Hall, Davidsons Mains",EH4 5BU,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
31st Pentland Scouts,Scout Hall 45 Lanark Road West,EH14 5JX,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
35th Blackford Scouts,Church Hall Marchhall Place,EH16 5HW,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
42nd Pentland Scouts,"Scout Hall, Forthview Crescent",EH14 5QU,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
4th Leith Explorer Scouts,Scout Hall South Trinity Road,EH5 3NT,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
4th Leith Scouts,Scout Hall South Trinity Road,EH5 3NT,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
4th Morningside Scouts,Greenbank Church,EH10 6ES,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
51st Leith Scouts,St Andrews & St Georges,EH2 2HN,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
51st Pentland Scouts,Scout Hall Lady Croft Balerno,EH14 7AG,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
5th Leith Scouts,Broughton Primary School,EH7 4LD,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
5th Portobello Scouts,Duddingston Primary School,EH15 1SW,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
60th Morningside Scouts,"St Fillans, Buckstone Drive",EH10 6PD,"15 Valleyfield Street, Edinburgh",EH3 9LP,secretary@southeastscotlandscouts.org.uk,0131 229 3756,http://www.southeastscotlandscouts.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
