"Street Name","Locality","Street Adoption Status","Property Notice Description"
"Hallhead Road","Mayfield","Adopted","HALLHEAD ROADFrom MAYFIELD ROAD north-westwards  to GORDON TERRACE.Carriageways and adjacent footways adopted for maintenance."
"Hallyards Road","","Adopted","HALLYARDS ROADStreet split between PUBLIC & PRIVATE sections:From A8 generally north & north-westwards to Lochend Road either side of the Airport boundary.PUBLIC: From A8 north to a point approximately 80m north of The Rural Centre  (south of runway)  & from EDINBURGH AIRPORT Fence  (north of runway) near the HALLYARDS CASTLE generally westwards, northwards and westwards to the KIRKLISTON/LOCHEND ROAD.   Carriageways and adjacent footways adopted for maintenance. PRIVATE: From public section ( on south side of airport), northwards to airport fence.  Not included for maintenance under the List of Public Roads."
"Halmyre Street","Albion","Adopted","HALMYRE STREETFrom Lorne Street north-east to Gordon Street with branch north-west opposite No.17 and branch opposite No.23 north-west  ending in a turning head with a branch south to rear of No.s28-32 with spur north-west to wall.Including service strips and 4 parking bays to rear of No.32    Carriageways and adjacent footways adopted for maintenance. All other parking areas are private."
"Hamburgh Place","Newhaven","Adopted","HAMBURGH PLACEFrom the centre-line of  PORTLAND STREET to the centre-line of HELEN PLACE.Carriageways and adjacent footways adopted for maintenance."
"Hamilton Drive","Durham","Adopted","HAMILTON DRIVEExtends from MOUNTCASTLE DRIVE NORTH north-eastwards and eastwards to HAMILTON TERRACE. Carriageways and adjacent footways adopted for maintenance. Public except school entrance."
"Hamilton Drive West","Durham","Adopted","HAMILTON DRIVE WESTFrom MOUNTCASTLE DRIVE NORTH extends south-westwards and southwards ending in a cul-de-sac.  Carriageways and adjacent footways adopted for maintenance."
"Hamilton Gardens","Durham","Adopted","HAMILTON GARDENSFrom MOUNTCASTLE DRIVE  NORTH south-westwards  to HAMILTON DRIVE WEST.Carriageways and adjacent footways adopted for maintenance."
"Hamilton Grove","Durham","Adopted","HAMILTON GROVEFrom HAMILTON GARDENS southwards - a cul-de-sac. Carriageways and adjacent footways adopted for maintenance."
"Hamilton Park","Durham","Adopted","HAMILTON PARKFrom HAMILTON DRIVE north-westwards and north-eastwards - a  cul-de-sac.  Carriageways and adjacent footways adopted for maintenance."
"Hamilton Place","Stockbridge","Adopted","HAMILTON PLACEFrom KERR STREET north-eastwards to the centre -line of CLARENCE STREET. Carriageways and adjacent footways adopted for maintenance."
"Hamilton Terrace","Durham","Adopted","HAMILTON TERRACEFrom DUDDINGSTON ROAD north-westwards to HAMILTON DRIVE.Carriageways and adjacent footways adopted for maintenance."
"Hamilton Wynd","Newhaven","Adopted (ex housing)","HAMILTON WYND Public except internal footpaths maintained as Adopted Ex-Housing."
"Hamilton's Close","South Queensferry","Private","HAMILTON'S CLOSEPRIVATE ROAD:  From High Street, South Queensferry northwards - a close. Not included for maintenance under the List of Public Roads."
"Hamilton's Folly Mews","Newington","Private","HAMILTON'S FOLLY MEWSPRIVATE STREET: From St Leonard's Street west through a pend to private parking.Not included for maintenance under the List of Public Roads."
"Hamiltons Close","Newington","Private","HAMILTONS CLOSEPRIVATE STREET: 37 GRASSMARKET - south side of Grassmarket - cul-de-sac.Not included for maintenance under the List of Public Roads."
"Hammermen's Entry","Old Town","Adopted","HAMMERMEN'S ENTRYFrom Holyrood Road north-eastwards for 58m with branch eastwards to Slater's Steps including hammerheadsouth-east.  Carriageways and adjacent footways are adopted for maintenance."
"Hampton Place","Wester Coates","Adopted","HAMPTON PLACEPart of the north side of WEST CATHERINE PLACE. Carriageways and adjacent footways adopted for maintenance."
"Hampton Terrace","Wester Coates","Adopted","HAMPTON TERRACEFrom the west side of STANHOPE STREET westwards to KEW TERRACE to include the property (No. 9A) on the west side of WESTER COATES PARISH CHURCH.Carriageways and adjacent footways adopted for maintenance."
"Handyside Place","Gorgie","Prospectively Adopted","HANDYSIDE PLACEPROSPECTIVELY ADOPTABLE: Carriageways and adjacent footways are not as yet adopted for maintenance."
"Hanover Street","New Town","Adopted","HANOVER STREETFrom PRINCES STREET north-westwards to the centre-line of QUEEN STREET intersected by GEORGE STREET.  Carriageways and adjacent footways adopted for maintenance."
"Harbour Lane","South Queensferry","Private","HARBOUR LANE"
"Harbour Place","Portobello West","Adopted","HARBOUR PLACEPublic, internal courtyards and footpaths are Adopted Ex-Housing."
"Harbour Road","Portobello East","Adopted","HARBOUR ROADFrom BRIDGE STREET north-westwards and north-eastwards to the PROMENADE. Carriageways and adjacent footways adopted for maintenance."
"Harden Place","Bruntsfield","Adopted","HARDEN PLACEFrom POLWARTH GARDENS north-westwards to  TEMPLE PARK CRESCENT.  Carriageways and adjacent footways adopted for maintenance."
"Hardwell Close","Newington","Adopted","HARDWELL CLOSEFrom the PLEASANCE south-westwards through a Pend to HOWDEN STREET.Carriageways and adjacent footways adopted for maintenance."
"Harelaw Road","Colinton","Private","HARELAW ROADPRIVATE STREET: From GRANT AVENUE  south-eastwards  to CARNETHY AVENUE.Not included for maintenance under the List of Public Roads."
"Harewood Crescent","Niddrie","Private","HAREWOOD CRESCENT"
"Harewood Drive","Niddrie","Adopted","HAREWOOD DRIVECarriageways and adjacent footways adopted for maintenance. Public except footway to Wauchope Avenue - Housing Dept."
"Harewood Road","Niddrie","Adopted","HAREWOOD ROADFrom WAUCHOPE TERRACE north-westwards to the east side of the Railway Level Crossing at  PEFFER PLACE intersected by HAREWOOD DRIVE.  Carriageways and adjacent footways adopted for maintenance."
"Harlaw Bank","Curriehill","Adopted","HARLAW BANKFrom Harlaw Road south-west then south - a cul-de-sac with turning head.including layby on east side.Carriageways and adjacent footways are adopted for maintenance."
"Harlaw Gait","Curriehill","Adopted","HARLAW GAITFrom Harlaw Road north-eastwards - a cul-de-sac with branch south-east ending in a hammerhead including 2 passing places.  Carriageway and adjacent footways are adopted for maintenance."
"Harlaw March","Colinton","Adopted","HARLAW MARCHFrom HARLAW ROAD northwards  -  a cul-de-sac including a turning point, including a footway at entrance to side and on  the east side. Carriageways and adjacent footways adopted for maintenance. Public except parking; landscaped areas and footways from: No.4 south-east to Harlaw Road and from private parking at No.8 south and south-east to No.s  7 and 12."
"Harlaw Road","Curriehill","Adopted","HARLAW ROADFrom BAVELAW ROAD southwest,  southeast to HARLAW RESERVOIR northeast by HARLAW to CURRIE BRIDGE.Carriageways and adjacent footways adopted for maintenance."
"Harperrig Way","Firrhill","Prospectively Adopted","HARPERRIG WAYPROSPECTIVELY ADOPTABLE: From Oxgangs Crescent northwest - a cul-de-sac with hammerhead.Including layby parking and remote footway with steps to Firhill Neuk.Not as yet included for maintenance under the List of Public Roads."
"Harrismith Place","Albion","Adopted","HARRISMITH PLACEFrom ALBION ROAD south for 45m and east for 45m.Carriageways and adjacent footways adopted for maintenance.Public including turning head between No.s 5 and 8; footways: west and south serving No.s 1-3 for 33m; 2 footways south from No.s 8 and 14 respectively for 92m; footway north and east. Excluding all parking areas andprivate parking courtyards.."
"Harrison Gardens","Polwarth","Adopted","HARRISON GARDENSFrom HARRISON ROAD south-westwards  to ASHLEY TERRACE. Carriageways and adjacent footways adopted for maintenance."
"Harrison Lane","Polwarth","Adopted","HARRISON LANEFrom WEST BRYSON ROAD south-eastwards behind the properties in HARRISON ROAD.  Carriageways and adjacent footways adopted for maintenance."
"Harrison Place","Polwarth","Adopted","HARRISON PLACEFrom HARRISON GARDENS north-westwards  -  a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Harrison Road","Polwarth","Adopted","HARRISON ROADFrom SLATEFORD ROAD and ANGLE PARK TERRACE south-westwards and south-eastwards to POLWARTH TERRACE. Including the 2 bridges.Carriageways and adjacent footways adopted for maintenance."
"Hart Street","Broughton","Adopted","HART STREETFrom BROUGHTON PLACE south-eastwards to FORTH STREET. Carriageways and adjacent footways adopted for maintenance."
"Hart Street Lane","Broughton","Private","HART STREET LANEPRIVATE STREET:From HART STREET south-westwards and north-westwards  - a cul-de-sac.Not included for maintenance under the List of Public Roads."
"Hartington Gardens","Bruntsfield","Adopted","HARTINGTON GARDENSFrom VIEWFORTH  south-westwards -  a cul-de-sac.Carriageways and adjacent footways adopted for maintenance. Grass verge on southside of carriageway is private."
"Hartington Place","Bruntsfield","Adopted","HARTINGTON PLACEFrom VIEWFORTH south-westwards   -  a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Harvest Drive","Ratho/newbridge","Adopted","HARVEST DRIVEFrom QUEEN ANNE DRIVE westwards and southwards to HARVEST ROAD including the access road southending in a hammerhead with access and exit to private carpark. Carriageways and adjacent footways adopted for maintenance."
"Harvest Road","Ratho/newbridge","Adopted","HARVEST ROADFrom BAIRD ROAD northwest, north then westwards to CLIFTONHALL ROAD Carriageways and adjacent footways adopted for maintenance. Bellmouth of branch northward serving No.20 is prospectively adoptable."
"Harvest Wynd","Newbridge","Private","HARVEST WYNDPRIVATE STREET: From Harvest Road north-east then south - an access road.  Not included for maintenance under the List of Public Roads."
"Harvesters Place","Westerhailes","Prospectively Adopted","Not as yet included for maintenance under the List of Public Roads."
"Harvesters Square","Westerhailes","Prospectively Adopted","Not as yet included for maintenance under the List of Public Roads."
"Harvesters Way","Westerhailes","Adopted","HARVESTERS WAYFrom CLOVENSTONE ROAD north-west, south-east, north-west, east and south-east in a loop to WESTER HAILES PARK.Carriageways and adjacent footways adopted for maintenance."
"Hastie's Close","Old Town","Prospectively Adopted","HASTIE'S CLOSEFrom GUTHRIE STREET north-eastwards and north-westwards to the COWGATE. Footway is prospectively adoptable."
"Hatton Place","Bruntsfield","Adopted","HATTON PLACEFrom CHALMERS CRESCENT eastwards to TANTALLON PLACE. Carriageways and adjacent footways adopted for maintenance. Public except land adjacent to No 33."
"Haugh Park","Kingsknowe","Private","HAUGH PARKPRIVATE STREET: Off LONGSTONE ROAD at KINGSKNOWE ROAD NORTH."
"Haugh Street","Stockbridge","Adopted","HAUGH STREETCarriageways and adjacent footways adopted for maintenance."
"Haughhead Farm","","Private","HAUGHHEAD FARMPRIVATE STREET: From Haughead Road eastwards - an access road to Haughhead FarmNot included for maintenance under the List of Public Roads."
"Haughhead Road","","Adopted","HAUGHHEAD ROADOff A70 Southwest of Balerno at Haughead to UC69 at Templehouse.Carriageways and adjacent footways adopted for maintenance."
"Haven Lane","Newhaven","Prospectively Adopted","Not as yet included for maintenance under the List of Public Roads"
"Hawes Brae","Dalmeny","Adopted","HAWES BRAEPart of the B324 from EDINBURGH ROAD eastwards.Carriageways and adjacent footways adopted for maintenance. Public except path from Hawes Inn to Dalmeny Station."
"Hawkhead Crescent","Alnwickhill","Adopted","HAWKHEAD CRESCENTFrom LIBERTON BRAE south-westwards and westwards to ALNWICKHILL ROAD intersected by BEAUCHAMP ROAD.  Carriageways and adjacent footways adopted for maintenance."
"Hawkhead Grove","Alnwickhill","Adopted","HAWKHEAD GROVEFrom HAWKHEAD CRESCENT southwards   -  a cul-de-sac. Carriageways and adjacent footways adopted for maintenance."
"Hawkhill","Lochend","Adopted","HAWKHILLFrom Lochend Avenue, northwards including loop road on east side and branch north west including roundaboutand spur west. Including parking areas and remote footpath linking Alemoor Crescent and Hawkhill. also includingbellmouth of branch west at No.11.Carriageways and adjacent footways adopted for maintenance. EXCLUDING private courtyards & parking behind No.s11-20 Hawkhill; remote footpath across loop road; footpath outside No.16 & carriageway south-west beyond belllmouth on west side of branch leading from Lochend Avenue.  Not included for maintenance under the List of Public Roads."
"Hawkhill Avenue","Albion","Adopted","HAWKHILL AVENUEFrom the centre-line of ST. CLAIR STREET north-eastwards and south-eastwards to LOCHEND ROAD. Access road off north side of Hawkhill Avenue serving small industrial development, including turning fishtail. Carriageways and adjacent footways adopted for maintenance. Public except  any private parking, turning areas and landscaping."
"Hawkhill Close","Albion","Adopted","HAWKHILL CLOSEFrom Hawkhill Avenue south then south-eastwards - a cul-de-sac including adjacent lay-by parking, with access on west side to 15 public parking spaces.  Including accesses to underground parking & the remote footways on north side.  Carriageways and adjacent footways are adopted for maintenance."
"Hawkhill Court","Lochend","Adopted","HAWKHILL COURTDistrict Council Multi-Storey Block  off RESTALRIG PARKCarriageways and adjacent footways adopted for maintenance."
"Hawmuirside","Kingsknowe","Council (NOT maintained by Rds Serv)","HAWMUIRSIDEFrom Redhall Drive generally south-eastwards to The Tunnel and the Cycle Track from Balerno To Slateford (Easter Hailes Gate) - a remote footway.Not included for maintenance under the List of Public Roads."
"Hawthorn Bank","South Queensferry","Adopted","HAWTHORN BANKFrom THE LOAN  eastwards.Carriageways and adjacent footways adopted for maintenance."
"Hawthorn Place","Hyvots Bank","Private","HAWTHORN PLACEPRIVATE STREET: From RAVENSCROFT STREET north-westwards and south-west, a vehicular cul-de-sac.Not included for maintenance under the List of Public Roads.PUBLIC SECTION: Footpath leading to cul-de-sac off NEWTOFT STREETis public maintained as is the footwayrunning along the rear of No.s1-5."
"Hawthorn Terrace","New Town","Private","HAWTHORN TERRACE"
"Hawthornbank","Newhaven","Adopted","HAWTHORNBANKCarriageways and adjacent footways adopted for maintenance."
"Hawthornbank Lane","New Town","Adopted","HAWTHORNBANK LANEFrom Bell's Brae south-west, south and west to Belford Road.Carriageways and adjacent footways adopted for maintenance. Including the  passages and stairs on the west side of Drumsheugh Baths.Verges & parking are private."
"Hawthornbank Place","Newhaven","Adopted","HAWTHORNBANK PLACEFrom the west end of HAWTHORNBANK LANE north-westwards - a  cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Hawthornbank Terrace","Newhaven","Adopted","HAWTHORNBANK TERRACEFrom HAWTHORNBANK PLACE north-westwards, a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Hawthornden Place","Bonnington","Adopted","HAWTHORNDEN PLACEFrom DRYDEN ST northwards with a branch westwards.  A small cul-de-sac. Including footpaths serving blocks 1 to 3 and 4 to 6.Carriageways and adjacent footways adopted for maintenance. Public except for landscaped areas and car parking areas."
"Hawthornvale","Newhaven","Adopted","HAWTHORNVALEFrom NEWHAVEN ROAD north-eastwards and northwards to ANNFIELD and ANCHORFIELDCarriageways and adjacent footways adopted for maintenance."
"Hawthornvale Path","Newhaven","Adopted","HAWTHORNVALE PATHCycleway - From Chancelot Path at the five ways junction generally eastwards to Lindsay Road.Part of the Caledonian Cycle Track which runs along the line of the old Caledonianrailway. Cycleway adopted for maintenance."
"Hay Avenue","Niddrie","Adopted","HAY AVENUEFrom NIDDRIE MAINS ROAD northwards ending in a turning circle.Carriageways and adjacent footways adopted for maintenance. Public including parking.  Footway between Hay Gardens & Hay Avenue is adopted."
"Hay Drive","Niddrie","Adopted","HAY DRIVEFrom NIDDRIE MAINS DRIVE northwards then west ending in a hammerhead. And also from NIDDRIE MAINSDRIVE south towards NIDDRIE MAINS ROAD ending in a dead end.  With 2 cul-de-sac branches west and 2 east. Includes lay-by parking.   Carriageways and adjacent footways adopted for maintenance."
"Hay Gardens","Niddrie","Adopted","HAY GARDENSFrom HAY PLACE north-westward then west then south-eastward to rejoin HAY PLACE.Footway between Hay Gardens & Hay Avenue is adopted. Carriageways and adjacent footways adopted for maintenance. Public including 9 layby parking spaces but not including end on parking."
"Hay Place","Niddrie","Adopted","HAY PLACEFrom the roundabout at Hay Avenue westwards to Hay Gardens. Carriageways and adjacent footways adopted for maintenance. Public including 2 parking laybys on north side of carriageway & 1 parking layby on south side outside No. 1 Cakemuir Gardens.The Prospectively Adoptable parking layby on south side of road  outside No. 5 is not as yet included for maintenance under the List of Public Roads."
"Hay Road","Niddrie","Private","HAY ROAD"
"Hay Terrace","Niddrie","Prospectively Adopted","HAY TERRACEPROSPECTIVELY ADOPTABLE: From Hay Place south  then east - a cul-de-sac with turning head.  Carriageways and adjacent footways have not as yet been added to the List of Public Roads.  Parking is private."
"Hayfield","Bughtlin","Adopted","HAYFIELDA cul-de-sac from MAYBURY DRIVE extending westwards, including loop, one nothernly branch and one westernly branch, both with turning heads.Excluding parking areas and remainder of turning circle.Carriageways and adjacent footways adopted for maintenance."
"Haymarket","New Town","Adopted","HAYMARKETFrom GLASGOW ROAD at the west gable of No. 5 CLIFTON TERRACE, north-eastwards to WEST MAITLAND STREET and to GROSVENOR STREET,  MORRISON STREET and DALRY ROAD.  Carriageways and adjacent footways adopted for maintenance."
"Haymarket Terrace","New Town","Adopted","HAYMARKET TERRACECarriageways and adjacent footways adopted for maintenance."
"Haymarket Terrace","New Town","Adopted","HAYMARKET TERRACEFrom HAYMARKET at the western boundary at No. 5 CLIFTON TERRACE westwards  to the centre-line of MAGDALA CRESCENT. Carriageways and adjacent footways adopted for maintenance."
"Haymarket Yards","New Town","Adopted","HAYMARKET YARDSFrom HAYMARKET TERRACE generally south-westwards then north-west to a T junction with short spurs east and west including turning head on south side of carriageway opposite Elgin House..Carriageways and adjacent footways adopted for maintenance. Parking areas are private."
"Hazelbank Terrace","Polwarth","Adopted","HAZELBANK TERRACEFrom SHAFTESBURY PARK, north-westwards  -  a cul-de-sac and south-eastwards  -  a cul-de-sac.  Carriageways and adjacent footways adopted for maintenance."
"Hazeldean Terrace","Inch","Adopted","HAZELDEAN TERRACEFrom MARMION CRESCENT north-eastwards to DURWARD GROVE including two cul-de-sacs and thefootpath to the southern cul-de-sac and the footpaths to MARMION CRESCENT.  Carriageways and adjacent footways adopted for maintenance."
"Hazelwood Grove","Inch","Adopted","HAZELWOOD GROVEFrom WALTER SCOTT AVENUE south-eastwards to RAVENSWOOD AVENUE including  two roads on the northeast side and an access road on the southwest side. Carriageways and adjacent footways adopted for maintenance. Including parking areas - these are Adopted Ex-Housing."
"Headrigg Row","Inch","Adopted","HEADRIGG ROWFrom DINMONT DRIVE between Nos. 79/81 south-eastwards, south-westwards and southwards to DINMONT DRIVE between Nos. 115/117 including the footpaths behind the ornamental plots.Carriageways and adjacent footways adopted for maintenance."
"Helen Place","Newhaven","Adopted","HELEN PLACE"
"Helen Street","Newhaven","Adopted","HELEN STREET"
"Helen's Walk","Newhaven","Adopted (ex housing)","HELEN'S WALK"
"Henderland Road","New Town","Adopted","HENDERLAND ROADFrom MURRAYFIELD AVENUE north-eastwards  to GARSCUBE TERRACE. Carriageways and adjacent footways adopted for maintenance."
"Henderson Gardens","North Leith","Adopted","HENDERSON GARDENSFrom YARDHEADS north-eastwards to HENDERSON STREET  (i.e. the line of the east side of the triangular garden plot). Carriageways and adjacent footways adopted for maintenance."
"Henderson Place","Stockbridge","Adopted","HENDERSON PLACECul-de-sac with dog-leg bend including footways. Including footpath connection to EAST SILVERMILLS LANE.Carriageways and adjacent footways adopted for maintenance. Public except end-on parking areas."
"Henderson Place Lane","Stockbridge","Adopted","HENDERSON PLACE LANEShort cul-de-sac branching off HENDERSON PLACE opposite No. 7.Carriageways and adjacent footways adopted for maintenance. Public except end-on parking areas."
"Henderson Row","Stockbridge","Adopted","HENDERSON ROWFrom DUNDAS STREET south-westwards to HAMILTON PLACE at the centre-line of CLARENCE STREET.Carriageways and adjacent footways adopted for maintenance."
"Henderson Street","North Leith","Adopted","HENDERSON STREETFrom GREAT JUNCTION STREET extending northwards and north-eastwards to TOLBOOTH WYND.  Carriageways and adjacent footways adopted for maintenance."
"Henderson Terrace","Gorgie","Adopted","HENDERSON TERRACEFrom ANGLE PARK TERRACE and DUNDEE STREET westwards to DALRY ROAD & ARDMILLAN TERRACE.Carriageways and adjacent footways adopted for maintenance."
"Henry Place","Newington","For Information Only","HENRY PLACE"
"Henry Ross Place","South Queensferry","Adopted","HENRY ROSS PLACEFrom VIEWFORTH ROAD westwards.Carriageways and adjacent footways adopted for maintenance."
"Henry Street","Newington","For Information Only",""
"Heriot Bridge","Newington","Adopted","HERIOT BRIDGEFrom the GRASSMARKET south-eastwards  -  a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Heriot Cross","Newington","Adopted","HERIOT CROSS: Four buildings on the west side of HERIOT BRIDGE laid out in the form of a cross.Was listed as private street but, as is in housing area, now deemed addopted."
"Heriot Mount","Newington","Adopted","HERIOT MOUNTFrom DUMBIEDYKES ROAD and ST. LEONARDS HILL north-eastwards to the  stairway leading to HOLYROOD PARK.Carriageways and adjacent footways adopted for maintenance. Public except stairway to QUEEN'S PARK."
"Heriot Place","Newington","Adopted","HERIOT PLACEFrom  LAURISTON PLACE north-westwards to the top step of the VENNEL. (Included with the VENNEL.)Carriageways and adjacent footways adopted for maintenance."
"Heriot Row","Stockbridge","Adopted","HERIOT ROWFrom DUNDAS STREET south-westwards to HOWE STREET and from HOWE STREET south-westwards to the centre-lines of GLOUCESTER LANE and WEMYSS PLACE.Carriageways and adjacent footways adopted for maintenance."
"Heriot-Watt Roundabout","Riccarton/Muirwood","Adopted","HERIOT-WATT ROUNDABOUTRoundabout on Riccarton Mains Road outside eastern entrance to Heriot Watt University campus at The Avenue.Carriagways and adjacent footways are adopted for maintenance."
"Heriothill Terrace","Broughton","Adopted","HERIOTHILL TERRACEFrom BELLEVUE north-eastwards  -  a cul-de-sac. Carriageways and adjacent footways adopted for maintenance."
"Hermand Crescent","Polwarth","Adopted","HERMAND CRESCENTFrom SLATEFORD ROAD south-east, south-west then north-west ending in a hammerhead. Includesservice strip & remote footways - north-west for approx 30m & south-west to Hermand Street.  Carriageways & adjacent footways are adopted for maintenance.  Parking is private."
"Hermand Street","Polwarth","Adopted","HERMAND STREET- From SLATEFORD ROAD south-eastwards ending in a double hammerhead.Carriageways and adjacent footways adopted for maintenance. Includes end-on & lay-bay parking &remote footway to Hermand Terrace."
"Hermand Terrace","Polwarth","Adopted","HERMAND TERRACE From SLATEFORD ROAD at the north east end of Railway Bridge south-eastwards - a cul-de-sac including bellmouth of access to private parking courtyard.  Carriageways and adjacent footways adopted for maintenance. Includes 10 end-on parking bays,service strip & remote footway north-west for approx. 56m."
"Hermiston","Currie","Adopted","HERMISTONFrom EAST HERMISTON westwards.Carriageways and adjacent footways adopted for maintenance."
"Hermiston Gait","South Gyle","Prospectively Adopted","HERMISTON GAITPROSPECTIVELY ADOPTABLE: From the City Bypass at Hermiston Junction north-east including Roundabout and slip road accessing shopping park.Not as yet included for maintenance under the List of Public Roads.Section of road between roundabout & Bankhead Drive is privately maintained."
"Hermiston House Road","Gogar","Adopted","HERMISTON HOUSE ROAD"
"Hermiston Steading","Currie","Prospectively Adopted","HERMISTON STEADINGPROSPECTIVELY ADOPTABLENot as yet included for maintenance under the List of Public Roads"
"Hermitage Drive","Cluny","Adopted","HERMITAGE DRIVEFrom BRAID ROAD north-eastwards and eastwards to the east side of MIDMAR DRIVE.  Carriageways and adjacent footways adopted for maintenance. Public except for the east side of MIDMAR DRIVE eastwards - a private cul-de-sac."
"Hermitage Gardens","Cluny","Adopted","HERMITAGE GARDENSFrom CLUNY GARDENS southwards to HERMITAGE DRIVE intersected by CLUNY DRIVE.  Carriageways and adjacent footways adopted for maintenance."
"Hermitage Park","Lochend","Adopted","HERMITAGE PARKFrom LOCHEND ROAD north-eastwards and south-eastwards to RYEHILL GROVE.  Carriageways and adjacent footways adopted for maintenance."
"Hermitage Park Grove","Lochend","Adopted","HERMITAGE PARK GROVEFrom LOCHEND ROAD north-eastwards -a cul-de-sac  including turning area at the end.Carriageways and adjacent footways adopted for maintenance. Public including landscaping; laybys; service strips; remote footways: from  Lochend Road to No.7;  from No.24 to No.s 13 & 20; from No.99 to 96 & 88; from No.38, 56  & No.46 northwards; from No.76 & No.82 southward & from No.74 east & northward. Excluding parking outside north side of No.s77-78; outside south side of No.s 25-26; outside west side of No.112;accesses to private parking courtyards; any other footways."
"Hermitage Park Lea","Lochend","Adopted","HERMITAGE PARK LEAFrom HERMITAGE PARK southwards, a cul-de-sac.Carriageways and adjacentfootways adopted for maintenance.Public including parking layby on west side of carriageway and 6 parking bays at entrance to parking courtyard between No.s 3-4.  Excluding all other parking."
"Hermitage Park South","Lochend","Adopted","HERMITAGE PARK SOUTHFrom HERMITAGE PARK south-eastwards  -  a cul-de-sac. Carriageways and adjacent footways adopted for maintenance."
"Hermitage Place","Lochend","Adopted","HERMITAGE PLACEFrom VANBURGH PLACE north-eastwards to the centre-line of SOMERSET PLACE. Carriageways and adjacent footways adopted for maintenance."
"Hermitage Terrace","Newbattle","Adopted","HERMITAGE TERRACEFrom MORNINGSIDE ROAD  eastwards and southwards to CLUNY AVENUE.  Carriageways and adjacent footways adopted for maintenance."
"Hermits Croft","St. Leonards","Adopted","HERMITS CROFTFrom ST LEONARDS STREET at PARKSIDE STREET. Northeastwards to TERRARS CROFT. Carriageways and adjacent footways adopted for maintenance."
"Heron Place","Edinburgh","Prospectively Adopted","HERON PLACENot as yet included for maintenance under the List of Public Roads."
"Heron View","Edinburgh","Prospectively Adopted","HERON PLACENot as yet included for maintenance under the List of Public Roads."
"Heron Walk","Edinburgh","Prospectively Adopted","HERON PLACENot as yet included for maintenance under the List of Public Roads."
"Hesperus Broadway","Edinburgh","Prospectively Adopted","HESPERUS BROADWAYNot as yet included for maintenance in the List of Public Roads"
"Hesperus Crossway","Edinburgh","Prospectively Adopted","HESPERUS CROSSWAYNot as yet included for maintenance under the List of Public Roads."
"Hewlett Packard Plant Access Road","South Queensferry","Private","HEWLETT PACKARD PLANT ACCESS ROADPRIVATE STREET:  From southward branch of Station Road (leading to Dalmeny Station)  south then circling Hewlett Packard Plant.Not included for maintenance under the List of Public Roads."
"High Buckstone","Buckstone","Adopted","HIGH BUCKSTONEFrom BUCKSTONE CIRCLE eastwards including 2m service strip between No.2-8.Carriageways and adjacent footways adopted for maintenance. Public except all landscaped areas and verges."
"High Riggs","Newington","Adopted","HIGH RIGGSFrom the line of the southwest side of LAURISTON STREET south-westwards to LAURISTON  PLACE.Carriageways and adjacent footways adopted for maintenance. Public including footpath linking High Riggs and Lauriston Place."
"High School Wynd","Old Town","Adopted","HIGH SCHOOL WYNDFrom INFIRMARY STREET north-westwards, to the COWGATE, at No. 281.Carriageways and adjacent footways adopted for maintenance."
"High School Yards","Old Town","Adopted","HIGH SCHOOL YARDSFrom HIGH SCHOOL WYND north-eastwards  -  a cul-de-sac. Stairway to COWGATE maintained by Corporation.Carriageways and adjacent footways adopted for maintenance."
"High Street","South Queensferry","Adopted","HIGH STREET"
"High Street","Old Town","Adopted","HIGH STREETFrom the LAWNMARKET at BANK STREET and GEORGE IV BRIDGE eastwards to the CANONGATE at  ST. MARY'S STREET and JEFFREY STREET. Carriageways and adjacent footways adopted for maintenance."
"High Street","Kirkliston","Adopted","HIGH STREETFrom THE SQUARE eastwards to  STATION ROAD.Carriageways and adjacent footways adopted for maintenance."
"High Waterfield","Buckstone","Prospectively Adopted","HIGH WATERFIELDPROSPECTIVELY ADOPTABLE: Not as yet included for maintenance under the List of Public Roads."
"Highlea Circle","Balerno","Adopted","HIGHLEA CIRCLEFrom COCKBURN CRESCENT  north-eastwards and southwards  - a cul-de-sac.  Carriageways and adjacent footways adopted for maintenance."
"Highlea Grove","Balerno","Adopted","HIGHLEA GROVEFrom HIGHLEA CIRCLE north-westwards  -  a cul-de-sac. Carriageways and adjacent footways adopted for maintenance."
"Hill Court","South Queensferry","Council (NOT maintained by Rds Serv)","HILL COURTFrom The Loan (B907) east through a pend then south.Included for maintenance under the List of Public Roads."
"Hill Place","Newington","Adopted","HILL PLACEFrom NICOLSON STREET north-eastwards  to RICHMOND PLACE.Carriageways and adjacent footways adopted for maintenance."
"Hill Square","Newington","Adopted","HILL SQUAREFrom HILL PLACE north-westwards round a central enclosure and returning south-eastwards to HILL PLACE. Carriageways and adjacent footways adopted for maintenance."
"Hill Street","New Town","Adopted","HILL STREETFrom FREDERICK STREET south-westwards to CASTLE STREET.Carriageways and adjacent footways adopted for maintenance."
"Hill Street North Lane","New Town","Adopted","HILL STREET NORTH LANE From HILL STREET north-westwards, east and south-eastwards returning to HILL STREET. Carriageways and adjacent footways adopted for maintenance."
