Image,Name,Address,Postcode,Telephone,Email,"Opening hours",Facilities,Background,"History and heritage",Wildlife,Geology,"Visitor information","Public Toilets","Book sports facilities","Organise an event","Getting involved","Other useful links","Green Flag","Management Plan","Why don't you?","Location map"
http://www.edinburgh.gov.uk/images/Hunters_Hall_Park_dp_220x150.jpg,"Hunters Hall Park","Niddrie Mains Road","EH16 4ND","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Play area
Walks
River
Community woodlands
Football
Rugby
Hockey
Car park
Jack Kane Centre
Mountain bike track (200m blue grade track, suitable for intermediate riders with basic off road skills)","This park is dedicated to sport, and home to the Jack Kane Centre, which provides a range of sporting and leisure facilities. It is a large, flat park with a small safe play area for young children located near the main entrance.  A woodland path follows part of the border through a wilderness area of hawthorn, elder, bramble, holly, dog rose, oak, lime and elm trees. Here is a community park on a large scale, with easy access from Niddrie and Greendykes for those who want to walk,play sport, jog or take part in the Jack Kane Centre's many activities.",,"The strip of woodland provides a habitat for birds and small mammals. Nesting pigeons, magpies and garden birds are common here.",,"Access on Lothian Bus number 14.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.932904400411544,-3.116168975830078"
http://www.edinburgh.gov.uk/images/Inch_Park_dp_220x150.jpg,"Inch Park","Old Dalkeith Road","EH16 4TD","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Play area
River
Walks
Football
Cricket
Rugby
Seating
Multi use games area","Inch is the old name for an island or a piece of low-lying land near a river or burn, and the spacious Inch Park fulfils that definition with a section of the Braid Burn still running through its northern edge. It is a large park with tree lined paths, green parkland, copses and woodland borders. Inch House is in the grounds, which is now used as a community centre. The park is home to Lismore Rugby Club and Edinburgh South Cricket Club.","The lands of the Inch, once known as the King's Inch, were granted to the monks of Holyrood in the 16th century and Inch House dates back to 1617. The initials of its first owner, James Winram, are carved on one of the window pediments, dated 1634. The house was extended by the owners in 1891, who also added 19th century details such as the turrets and oriels. In 1946 the house was sold and for a time became a school. Now Inch House is popular adult education and community centre.","The lower park has beech, chestnut, sycamore, elm, copper beech, hawthorn and sorbus. The Braid Burn is clean enough to support small fish and other water life. ",,"Serviced by Lothian bus numbers 3 and 8. Can be accessed from Cameron Toll Shopping Centre, Old Dalkeith Road and Glenallan Drive.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,"Watch a cricket game or rugby match.","55.92516287487901,-3.160886764526367"
,"Inchcolm Park","Inchcolm Terrace, South Queensferry","EH30 9SF","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,,"An attractive little park which is well used by the community. The park lies to the west of Kirkliston Road with access being gained via Viewforth Place and Inchcolm Terrace.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.9863195957584,-3.401094675064087"
http://www.edinburgh.gov.uk/images/Inverleith_Park_dp_220x150.jpg,"Inverleith Park","Arboretum Road","EH3 5NZ","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Play area
Sundial garden
Tennis court
Allotments
Sports pitches
Trim Trail","Inverleith Park is a large park of neatly maintained grass parkland with a tree lined perimeter and paths. There are grand gated entrances and iron railings around the perimeter. The park is well-loved and well-used with an extensive range of facilities including sports pitches and club pavilions, bowling greens, allotments, a play area, a pond (used by model boat club), the Sundial Garden and even a petanque square. The park has been awarded a Green Flag since 2010, in recognition of it being a quality greenspace.","Inverleith Park came into the hands of the Old Corporation in 1889 when it was purchased from Mr Charles Rocheid for £33,500 and a farm came with it. The Corporation developed it vigorously. Paths, roadways and drainage were quickly underway, greenhouses, the construction of a pavilion, two bowling greens, four tennis courts, two golf courses and a ride for horses were constructed.","The wet garden around the pond inlet was installed a few years ago and includes a range of plant species that will help reduce blue-green algae in the water. The wooden boardwalk provides access to the area to view the flora and fauna that now inhabit the pond. There is an interpretation board to inform the public about the wetland area. ",,,,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>"," <a href=""http://www.edinburgh.gov.uk/info/542/volunteering-general_information/761/friends_of_parks "">Friends of Parks</a>",,"Since 2010","<a href=""http://www.edinburgh.gov.uk/downloads/file/7055/inverleith_park_management_plan"">Inverleith Park Management Plan</a>","Try counting the swans on Inverleith pond.","55.96380699804833,-3.215475082397461"
,"Jewel Park","Duddingston Park South","EH15 3LJ","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Walks
River
Ball court
Climbing wall
Birds nest climbing frame
Football pitches
Community woodland
Seating","Divided by Niddrie Burn, Jewel Park falls neatly into a sports section for football and kick-about area next to Duddingston Park South, and a section for strolling and play for younger children. The park has hard paths and lighting. There is some attractive woodland with birch, ash, rowan, cherry, sorbus and sycamore. There is a small enclosed section for younger children to play football, games or cycle.","Jewel Park, opened by the council in 1959, takes its name from a rich seam of coal that once ran there. ",,,,,"Contact Jewel Miners Social Club on 0131 669 5955","<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.93742358222971,-3.1227779388427734"
,"Joppa Quarry Park","Milton Road East","EH15 2NB","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Play area
Playing fields","This park provides an area for local young people to play and expend energy with a ball, a rough and tumble playground for children, an open space where the dog can run or for parents to take toddlers down to a safe play area. ","The grounds came into council hands in 1933.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.94569135867933,-3.099946975708008"
,"Keddie Park","Largo Place, Leith","EH6 4AG","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Play area
Grassed area
Benches","This is a small but well used neighbourhood park with a fine setting above the Water of Leith. A walkway and cycle track lead down to what has become a popular strolling aread beside a tranquil section of the river. There is a fenced off play area popular with local parents and their children.","Once known as North Leith Public Park, the name was changed to Keddie Park in 1927.",,,"Lothian Bus numbers 10 or 11.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.97437454215269,-3.181142807006836"
,"King George V Park (Currie)","Lanark Road West, Currie","EH14 5RT","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Stunning views
Seating
Multi Use Games Area
Wildlife","This park straddles Lanark Road West providing a football pitch and pavilion, but also descends to the Water of Leith and a path along the riverside. ","There are several King George V parks in Edinburgh. They were named to mark the King's death in 1936.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.893796284148955,-3.3150386810302734"
,"King George V Park (Eyre Place)","Eyre Place","EH3 5EN","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Play area
Multi use games area
Seating","A pleasant park of winding paths, shrubberies and lawns set in an interesting and historic part of the city. There is also a much loved play area.","The park was created as part of a memorial programme for King George V following his death in 1936. The park was opened by the Duke of Buccleuch in 1950. ",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.kgvsy.org.uk/"">Friends of King George V and Scotland Yard Parks</a>",,,,,"55.96073226143287,-3.1972789764404297"
,"King George V Park (South Queensferry)","Farquhar Terrace, South Queensferry","EH30 5EN","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Play area
Goal posts","This small park is designed for children to play. There are goal posts and a play area. A steep bank of mixed oak, sycamore, hawthorn, elder, ash and dog rose form a natural screen on the river side.","There are several King George V parks in Edinburgh. They were named to mark the King's death in 1936.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.990728,-3.407037"
http://www.edinburgh.gov.uk/images/Lauriston_Castle_dp_220x150.jpg,"Lauriston Castle","Cramond Road South","EH4 5QD","0131 529 7921",parks@edinburgh.gov.uk,"April to October: Monday - Thursday at 2pm; Saturday and Sunday at 2pm.
November to March: Saturday and Sunday at 2pm.","Japanese garden
Italian garden
Lauriston Castle
Stunning views
Pond
Seating","The grounds of the 16th Century Lauriston Castle offer views across the Firth of Forth in a wood and parkland setting. There are manicured lawns in contrast with woodland walks and a range of trees and plants in the elegant gardens including azaleas, rhododendrons, beeches, sycamores, sweet chestnut, conifers and monkey puzzle trees. Among the woods are 14 special trees planted in 1984 in memory of the 1st Battalion Royal Scots Bren Gun Carrier Platoon who were killed or died in the Burma campaign of 1943-45.","The 16th Century castle had major additions in the 19th century. It was  gifted to the nation in 1926 by its last private owners, Mr and Mrs William Robert Reid.","There is a small pond which is home to breeding mallards and moor hens.",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,"<a href=""http://www.edinburghmuseums.org.uk/Venues/Lauriston-Castle"">Further information on Lauriston Castle</a",,,"Take sometime to relax in the Kyoto Friendship Garden.","55.97009983784913,-3.278045654296875"
,"Leith Links","Links Gardens","EH6 7QR","0131 529 7061",citycentreteam@edinburgh.gov.uk,,"Play area
Playing fields 
Community orchard
Seating","Originally designed as golf course, Leith Links is a large open space with tree lined avenues and walkways that is well-used. Local schools and community groups have been involved in planting crocuses, daffodils and creating a children's orchard. It is a park that is enjoyed by the whole community. It is a great place for walkers, joggers, for football, cricket, games and picnics. There is a well used children's play area. Leith Links is important as a venue, with the Edinburgh Mela and Leith Festival being held here every year.","Leith Links was the site of the Seige of Leith in 1560. It was also used as a camp before the Battle of Prestonpans in 1745. In the 17th and 18th centuries, Leith Links were recognised as Edinburgh's premier place to play golf. The area was formalised as a public park in 1888.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.970340002298805,-3.164491653442383"
,"Liberton Park","Liberton Gardens","EH16 6NE","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Playing fields
Play area
Picnic tables
Seating","This park was designed to provide a sporting facility, a place for residents to walk and children to play safely. It is well used by families, joggers and dog walkers. A wooden pavilion provides changing facilities for organised football and the small play area is popular with young children and their parents.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://libertonpark.blogspot.co.uk/"">Friends of Liberton Park</a>",,,,,"55.910493011399616,-3.1659507751464843"
http://www.edinburgh.gov.uk/images/Lochend_Park_dp_220x150.jpg,"Lochend Park","Lochend Road South","EH7 6DQ","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Play area
Teenage area & goals
Pond and viewing platform
Historical buildings
Community woodland","Lochend Park is a popular country-style park off Lochend Road South and behind Meadowbank Sports stadium. The loch, with a wide variety of waterfowl is the main attraction, but historical buildings, a children's play area, teen area and even a bee cafe. The park holds a Green Flag in recognition of it being a quality greenspace.","The park was once meadow land belonging to the Earl of Moray, who used the loch for irrigation. The area required much work before it could be turned into a public park, with drainage and levelling the top priorities at the time. There are two old buildings at the northern end of the park which attract interest. One is called the Doocot and was probably used for keeping pigeons, but is also associated with stories from local residents that infected clothes were burned there during epidemics. The other building is a pump station, which was used to pump water to supply the Leith area.","There are a range of habitats to be found in the park. The loch is home to a wide variety of wildfowl, including swans, geese, coots and mallards. A viewing platform and planting beds, funded by the City of Edinburgh Council and WREN, were created around the pond in the spring of 2011. The viewing platform gives people greater access to see the wildlife and allows local schools the chance to take part in pond dipping activities. The new planting, including yellow flag iris and water mint, will enhance the biodiversity of the pond by providing more habitats and food for the local wildlife.  
Hermitage Park Primary School have worked with the Park Rangers to plant a variety of plants in the south of the park to create a bee cafe.",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://en-gb.facebook.com/pages/Friends-of-Lochend-Park/109797945756275"">Friends of Lochend Park Facebook page</a>","<a href=""http://www.edinburgh.gov.uk/downloads/download/1506/parks_and_greenspace_podcasts"">Lochend Park podcast</a>","Since 2012",,,"55.961500968488146,-3.1604576110839843"
http://www.edinburgh.gov.uk/images/London_Road_Gardens_dp_220x150.jpg,"London Road Gardens","London Road","EH7 5AA","0131 529 7061",sfc.centralneighbourhood@edinburgh.gov.uk,,"Spring flower displays
Interpretation panels","Located within the city centre London Road Gardens are a significant designed open space within the Edinburgh World Heritage Site. The mature trees provide a welcome green lung along one of the main arterial routes into the city and provide local people a place to walk, sit and enjoy the views.","London Road Gardens were designed by William Playfair in 1819, one of the premier architects of the 19th century. They were created to provide an informal recreational space for the residents of the New Town, as well as preserving the views from Royal Terrace above. Playfair was also responsible for designing the streets and communal gardens in the area.",,,"On Lothian Bus routes 26 and 44.","London Road
Opening times: 10am-8pm
Baby changing facilities available 
No disabled access",,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://inspiringhillside.org.uk/"">Friends of Hillside and Calton Area</a>",,Yes,,,"55.957272890741976,-3.1774520874023438"
,"Malleny Park","Bavelaw Road","EH14 7AF","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Sports pitches","Malleny Park is a well-used neighbourhood park for the whole community. There are two football pitches, two rugby pitches and a small grandstand.  ",,,,"On Lothian Bus route 44.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.883005,-3.338806"
,"Marchbank Park","Deanpark Place","EH14 7NL","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,,"Marchbank Park, also known as the Bell’s Field, is located in the centre of Balerno’s main housing area. The land is maintained (not owned) by the Council as an open space area since the development of the surrounding Bell’s Estate. The park is dissected by a tarmac footpath from Cockburn Crescent to Marchbank with connecting paths to adjacent streets. A mature line of Beech trees follows the path line and indicates the former line of a shelter belt to this originally agricultural field. Connecting open space at Deanpark offers a small community woodland area and children’s play facility.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.880538,-3.342558"
,"Meadowfield Park","Meadowfield Drive","EH8 7NZ","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Play area including flying fox
Views
Walks
Wildlife
Woodlands
Mountain bike trail (260m blue grade bike track, suitable for intermediate riders with basic off road skills)","Meadowfield Park is on the eastern slope of Arthur's Seat with views of the Forth Estuary and East Lothian. Trees in the park include poplar, whitebeam, silver birch, pine, ash, beech and hawthorn. There is a football pitch on a flat area, but the park primarily provides a place to walk and play, roll Easter eggs, or sledge in winter.","The ground was acquired from the Abercorn Estates Company in 1952.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.947325477671896,-3.1467247009277343"
http://www.edinburgh.gov.uk/images/The_Meadows_dp_220x150.jpg,Meadows,"Melville Drive","EH9 9EX","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Play areas (including the Magnet play area)
Tennis
Cricket
Cafe
Toilets
Picnic tables
Croquet
Designated barbeque areas","The Meadows remain one of the most important open spaces in Edinburgh and one of the most popular. There's something for everyone with the biggest play area in the city, large grassed areas, tennis courts, cafe and toilets.","The park was once the site of the wind-swept Borough-Loch, which was part of the historic old Borough Muir, and one of the main water supplies for Edinburgh's old town. In 1722 the Loch was leased to Thomas Hope, who completed drainage, created a walkway, lined with hedges and trees. When Melville Drive was opened in 1859 as part of the South Side development, it brought a further wave of popularity for walks, picnics or play. As the City grew, the Edinburgh Improvement Act of 1827 stated that 'it should not be competent for the Lord Provost, Magistrates and Council, or any other person, without the sanction of Parliament obtained for the express purpose, at any time thereafter to erect buildings of any kind upon any part of the grounds called the Meadows or Bruntsfield Links so far as the same belongs in property to the Lord Provost, Magistrates and Council.'

In 1886, the International Exhibition of Industry, Science and Art was held in the Meadows, giving the site world-wide recognition.",,,"On Lothian Bus routes 27, 23 or 41.","Hope Park Crescent
Opening times: 10am-6pm. 
Disabled access. All toilets for the disabled require a RADAR key for access.

Middle Meadow Walk
Opening times: 10am-6pm.
Baby changing facilities available.
No disabled access.","Tennis: tennis@edinburghleisure.co.uk Cricket: sportspitch@edinburghleisure.co.uk","<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.fombl.org.uk/"">Friends of the Meadows and Bruntsfield Links</a>",,,,,"55.94136541671504,-3.1915283203125"
http://www.edinburgh.gov.uk/images/Meadows_Yard_dp_220x150.jpg,"Meadows Yard Local Nature Reserve","Fillyside Road","EH7 6RG","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage Service
Guided walks
Interpretation panel
Walks
Wildlife
Seating","Meadows Yard Local Nature Reserve is a small site located off Fillyside Road near Seafield.  A Local Nature Reserve (LNR) is a place with special, local, natural interest, set up to protect nature so you can enjoy and appreciate it.  ","In the past Meadows Yard was a grazing meadow for dairy cows, railway sidings, and allotments, however today it is a quiet place for people and wildlife.  It was designated an LNR in 2002 with the support of the local community.","At Meadows Yard you can discover different trees and shrubs that provide food and shelter for many small birds such as goldfinches and long tailed tits.  You may be lucky to see rabbits or a fox in the tall grassy meadow that gives the site its name.  You can also see different species of butterflies flying over the meadow or feeding on the many wildflowers which grow here.  You can explore the wetland area; it has different water loving plants and amphibians that survive the varying water levels.  ",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/info/542/volunteering-general_information/761/friends_of_parks"">Friends of Parks</a>","<a href=""http://www.edinburgh.gov.uk/info/78/countryside_management_and_conservation/710/countryside_sites"">Natural Heritage Ranger Service</a>",,,,"55.96515211850382,-3.1341934204101562"
,"Meadowspot Park",Meadowspot,"EH10 5UW","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,,"A small green park mostly given over to local schools footballing activities; never the less offers access onto one of Edinburgh Local Nature Reserve sites - Easter Craiglockhart Hill.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.92559567177729,-3.2273197174072266"
,"Montgomery Street Park","Montgomery Street","EH7 5NH","0131 529 7061",citycentreteam@edinburgh.gov.uk,,"Play area
Seating
Ball court","A small, rectangular park, created from an area that was once a bowling green. It is bordered by mature and newly planted trees and is a blaze of colour every spring with thousands of daffodils. There a small path loop through grassed area. There is also a play area and kick about area.",,,,"Serviced by Lothian Bus numbers 1, 26 or 19.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.montgomerystreetpark.org.uk/"">Friends of Montgomery Street Park</a>",,,,,"55.95933894097993,-3.1749629974365234"
,"Moredun Park (Gilmerton Park)","Moredun Park View","EH17 7NE","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,,"A grassy open space for children to play, local residents to stroll, walk their dogs or take a short cut to school or the shops on Moredun Park Road. The park provides views to Arthur's Seat, Castle, Blackford Hill and across the Forth.","It was acquired by Edinburgh in 1964.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.910239,-3.136034"
,"Moredun Woods","Ellen's Glen Road","EH17 7QP","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,,,,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.911392,-3.150242"
,"Morgan Playing Fields","Kings Meadows","EH16 5UT","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Football
Bike racks
Seating
Car park","These former university playing fields were sold off in the 90’s to housing developers but were never built on and became very rundown and overgrown. They were then returned to council ownership around 2005 and works to reinstate the former pitches, including a small car park, was completed in August 2006. The playing fields have been used for a variety of sports including baseball, football, shinty & Gaelic football. The park is also used by the local Prestonfield Primary School for football and is also popular with local residents as a green open park area.",,,,"On bus routes 2,14,21,30 & 42",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.93314479569796,-3.152647018432617"
http://www.edinburgh.gov.uk/images/Morningside_Park_dp_220x150.jpg,"Morningside Park","Balcarres Street","EH10 5JP","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Play area
All weather football kick about area with goals  
All weather basketball area
Tennis court 
Suzy Wong sensory garden
Picnic tables
Seating","A small and pleasant park with a range of facilities, including tennis courts, play area, sensory garden and picnic area. Surrounded by a wall, the west side of the park is graced by some fine mature silver birch trees as well as cherry, holly, yew, rowan and laurel. The Balcarres Street entrance has 3 flower beds and a grove of mature lime trees enhance this park further. At the Morningside Drive entrance a number of cedars create impact and interest. The park takes a northern slope, but enough room has been created for a grassed area where people can play ball games or merely enjoy the fresh air. Both entrances have metal gates and railings and the hard paths through the site are all suitably lit. The park was awarded its first Green Flag in 2011.","It is one of the city's long established parks, once part of the old Plewlands Farm, which was a link with olden times. The ruins of Plewlands were still on the site until the 1920s when the park came into Council control from the Scottish Provident Property Co Ltd in 1913.",,,"On bus routes 15,16, 23.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/fop"">Friends of   Parks</a>",,"Since 2011",,,"55.92333545691173,-3.2172775268554687"
,"Mortonhall Community Park","Frogston Road East","EH17 8BW","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,,"Mortonhall Community Park, situated just off Frogston Road, is a small narrow park bounded on one side by the Trotters Estate woodland and on the other side by a privet hedge. Mortonhall Crematorium is located directly to the north of the park. It was designated as a park back in 2003 and around 15,000 natural bulbs were planted in the grass next to the woodland including daffodil and chionodoxa. These bring a welcome splash of colour to the park in the spring months and are a welcome site following a cold winter.",,"The woodland area has many varieties of trees including a number of Scotch pine. Bird boxes are sited on a number of the trees giving a welcome home to the large variety of birdlife in the area. The woodland area also encourages many other types of wildlife and insects which add to the biodiversity value of this site.",,"The walk from the park through the woodland area takes you past the Mortonhall Caravan and Camping site entrance and for gardening enthusiasts the Klondyke Garden Centre, which includes a café and toilets, is only a short walk away. Further up from the garden centre and sited next to the caravan park is the Stable Bar which dates back to the 1780’s. It is a popular haunt and still incorporates the original cobbled courtyard where you can enjoy a drink and a meal with a countryside backdrop.

On bus route 11.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.89985990377816,-3.166980743408203"
,"Muir Wood Park","Muir Wood Road, Currie","EH14 5JE","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Play area
Kick pitch
Seating
Woodland walk","An attractive woodland park in Currie, in the south west of Edinburgh. The local community have worked with the local school and the Council to transform this park into a tranquil haven, with woodland walks, seats and a play area. The park has been awarded a Green Flag since 2011, in recognition of it being a quality greenspace.",,"The woodland is rich in bird life and the Friends groups have put up a range of bird and bat boxes to encourage even more wildlife to the park. They have also planted wild flowers and hold regular mini beast hunts for the local school.",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.fmwp.btck.co.uk"">Friends of Muirwood Park</a",,"Since 2011",,,"55.90082229593349,-3.3025074005126953"
,"Muirhouse Park","Muirhouse Drive","EH4 2PD","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Skateboard and bmx park
Play area","Muirhouse Park is a community park that provides a space where people can play, kick a ball or walk their dogs.",,,,"On Lothian bus routes 27, 24 and 29.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.97119,-3.261404"
,"Murieston Park","Murieston Crescent","EH11 2LQ","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Seating
Play area","Murieston Park is a small community park off Dalry Road with benches and play area. The park is regularly used for a number of community events. ",,,,"On Lothian bus routes 4 or 25.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.94040403065762,-3.2268905639648438"
,"Newcraighall Park","Newcraighall Park","EH21 8SG","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Play area
Football
Cycle path","Newcraighall Park is a popular place to play and walk. It is a popular football venue, there is a safe play area for small children and the park is used as an outdoor focal point for community events. The Musselburgh cycleway runs at the park's south edge.  ",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.93365,-3.092651"
,"Nicholson Square","Nicholson Square","EH8 9BH","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Gardens
Seating
Monument","These small but popular gardens are located on the southern boundary of the Capital's World Heritage Site and have seen many changes over the years. The Square is one of a collection of small popular garden areas within this side of the city, namely St Patrick Square Garden, Hill Square, Deaconess Garden and Bauks View. All of them are situated only a few minutes walk away. In 2008 major refurbishment of the square took place. This involved the removal of the older cherry trees which bordered the site and which had almost reached the end of their lifespan and the introduction of new railings, new pathways and new trees to replace the cherries. Also, uplighters were
installed, to add character to the gardens in the dark evenings. New seating was installed; the monuments were given a clean up and the whole garden landscaped
with both grass and natural bedding schemes. These are planted up with many different varieties and over 3000 spring bulbs which give a very welcome touch of colour to the spring months.","Next to the Nicolson Street section of the gardens is the ‘Brass Iron Founders' pillar. It features the biblical character, Tubal Cain, the legendary founder of brass and iron making skills. This monument was commissioned for the 1886 International Exhibition of Science, Art and Industry by the Edinburgh and Leith Brass Founders. Following the exhibition, the pillar was moved from the Meadows to Nicolson Square. The main focal point of the gardens is the fountain sited in the centre. This is a delightful feature with several tiers but unfortunately has been out of use for many years.",,,"On bus routes 2, 3, 3A, 5, 7, 8, 14, 29, 30, 31, 33, 37, 47, X47, 48, X48 & 49","Nicolson Square
Opening times: 10am-10pm. 
Disabled access. All toilets for the disabled require a RADAR key for access.",,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.94593167462068,-3.1857776641845703"
,"Orchard (Brae) Park North and South","Queensferry Road","EH3 3HW","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,Seating,"Orchard Brae Park is divided by Queensferry Road. The north side is a grassy area enclosed by trees and a place for children to play, kick a ball or for adults to walk the dog or stroll with a bench handy. 
The south side of the park is more formally laid out as a garden, with laburnum trees, roses and shrubbery.","Park of the park was acquired for the city from Sir James Sterling in 1801 and the remainder followed in 1935.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.9550145236391,-3.2358169555664062"
,"Parkside, Newbridge","Parkside, Newbridge","EH28 8ST","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Seating
Play area","Parkside is a small green area with benches and a safe play area with a kick around grassy corner off Riverside, leading on to the River Almond.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.938597,-3.409138"
